Nascimento,Estado sanguíneo,Estado civil,Nacionalidade,Outros nomes,Título(s),Assinatura,Espécie,Gênero,Altura,Peso,Cor do cabelo,Cor dos olhos,Membros da família,Bicho-papão,Varinha,Patrono,Ocupação,Casa,Lealdade,Nome,Cor da pele,Romances,Morte,Cor das penas,Dono (s),Forma animaga,Cor do pelo,Título (s),Familiares
"1 de abril de 1978, Grã-Bretanha[1]",Sangue puro[3],,Inglês,"Rodent (durante uma transmissão do Observatório Potter)[4], Rapier (durante uma transmissão do Observatório Potter)[4], Forge, Harry Potter (sob efeito da Poção Polissuco)[5], Fredinho (por Belatriz Lestrange[6] e Jorge Weasley)",Batedor[3],     ,Humana,Masculino,"Abaixo de 1,52 [7]",,Ruivo[8],,"Septimus Weasley (avô paterno) †, Cedrella Weasley (nascida Black) (avó materna) †, Sr. Prewett (avô paterno), Sra. Prewett (avó paterna), Arthur Weasley (pai), Molly Weasley (nascida Prewett) (mãe), Gui Weasley (irmão), Carlinhos Weasley (irmão), Percy Weasley (irmão), Jorge Weasley (irmão gêmeo mais novo), Gina Potter (nascida Weasley) (irmã), Fleur Weasley (nascida Delacour) (cunhada), Victoire Weasley (sobrinha), Dominique Weasley (sobrinha), Louis Weasley (sobrinho), Audrey Weasley (cunhada), Molly Weasley II (sobrinha), Lucy Weasley (sobrinha), Angelina Weasley (nascida Johnson) (cunhada), Fred Weasley II (sobrinho), Roxanne Weasley (sobrinha), Hermione Granger (cunhada), Rosa Granger-Weasley (sobrinha), Hugo Granger-Weasley (sobrinho), Harry Potter (cunhado), Tiago Potter II (sobrinho), Alvo Potter (sobrinho), Lílian Potter (sobrinha), Tessie (tia-avó), Gideão Prewett (tio materno) †, Fábio Prewett (tio materno) †, Abílio (tio) †, Tio, Primo, Tios paternos, Família Weasley, Casa dos Black (ancestrais distante)",Lorde Voldemort[9],"Comprimento, madeira e núcleo desconhecidos",Magpie[10],Co-proprietário das Gemialidades Weasley [11], Grifinória,"Família Weasley, Família Prewett, Escola de Magia e Bruxaria de HogwartsGrifinóriaTime de Quadribol da Grifinória, Grifinória, Time de Quadribol da Grifinória, Círculo de Khanna, Armada de Dumbledore, Ordem da Fênix, Gemialidades Weasley",Fred Weasley,Branca,,"2 de maio de 1998 (20 anos)Corredor do sétimo andar, Castelo de Hogwarts, Terras Altas, Escócia, Grã-Bretanha[2]",,,,,,
Antes de 1918,,Solteira,,,,,,,,,Grisalhos,Amarelos,,,,Não corpóreo,,,Escola de Magia e Bruxaria de Hogwarts,Rolanda Hooch,Branca,,,,,,,,
Entre 1 de setembro de 1975 a 31 de agosto de 1976,Puro-Sangue ou Mestiço (possivelmente),,Britânico ou Irlandês,,"Artilheiro, Capitão",,Humana,Masculino,,,,,"Ursula Flint (possível parente), Josephina Flint (possível parente), Família Flint",,,,, Sonserina,"Família Flint, Escola de Magia e Bruxaria de HogwartsSonserinaTime de Quadribol da Sonserina, Sonserina, Time de Quadribol da Sonserina",Marcos Flint,,,,,,,,,
1956,Aborto,,,,,,Humano,Masculino,,,Cinza,,,,Não Possui,,,,"Escola de Magia e Bruxaria de Hogwarts, Brigada Inquisitorial",Argo Filch,Pálida,,,,,,,,
Entre 1 de setembro de 1979 a 31 de agosto de 1980,Sangue puro[1],,Britânico ou irlandês[2],,Batedor[3],,Humana,Masculino,,,,,"Sr. Goyle (pai), Sra. Goyle (mãe)",Lorde Voldemort[4],"Madeira, núcleo e comprimento desconhecidos",Nenhum[5][6],, Sonserina,"Família Goyle, Escola de Magia e Bruxaria de HogwartsSonserinaTime de quadribol da Sonserina[3]Brigada Inquisitorial[3], Sonserina, Time de quadribol da Sonserina[3], Brigada Inquisitorial[3], Gangue de Draco Malfoy(anteriormente), Lorde Voldemort, Comensais da Morte(não oficialmente)",Gregório Goyle,,,,,,,,,
29 de maio de 1980,Mestiço[1],,Irlândes,O'Flaherty (por Cuthbert Binns) [2],Comentarista de Quadribol,,Humano,Masculino,,,Cor de palha [3],,"Sr. Finnigan (pai), Sra. Finnigan (mãe), Fergus (primo materno)",Espírito Agourento,"Comprimento, núcleo e madeira desconhecidos",Raposa,, Grifinória,"Armada de Dumbledore, Escola de Magia e Bruxaria de HogwartsGrifinória, Grifinória, Família Finnigan, Família Thomas, Seleção Irlandesa de Quadribol, Francelhos de Kenmare, Dino Thomas",Simas Finnigan,Pálida,,,,,,,,
23 de Junho de 1980[1],Trouxa,Casado,,,,,Humano,Masculino,,,Loiro[2],Azuis[2],"Válter Dursley (pai), Petúnia Dursley (mãe), Sra. Dursley (esposa), Sra. Dursley (avó materna), Guida Dursley (tia paterna), Sr. Evans (avô materno) †, Sra. Evans (avó materna) †, Lílian Potter (tia materna) †, Tiago Potter I (tio materno por casamento) †, Harry Potter (primo de primeiro grau materno), Ginevra Weasley (prima de primeiro grau materno)",,,,,,"Família Dursley, Família Evans, Academia Smeltings, sua gangue",Duda Dursley,Clara,,,,,,,,
"30 de janeiro de 1960[1], Cokeworth,[2] Terras Médias, Inglaterra, Grã-Bretanha",Nascida trouxa[3],Viúva (brevemente),Inglesa,,Monitora-chefe,,Humana,Feminino,,,Ruivo[4][5][6],Verde vivo[4][3],"Sr. Evans (pai) †, Sra. Evans (mãe) †, Petúnia Dursley (nascida Evans) (irmã) †, Tiago Potter (marido) †, Harry Potter (filho), Ginevra Potter (nascida Weasley) (nora), Tiago Potter II (neto), Alvo Potter (neto), Lílian L. Potter (neta), Fleamont Potter (sogro) †, Euphemia Potter (sogra) †, Válter Dursley (cunhado), Duda Dursley (sobrinho), Sra. Dursley (sobrinha), Família Evans, Família Potter","Comprimento, madeira e núcleo","Vinte e seis centímetros, farfalhante, salgueiro e núcleo desconhecido[7]",Corça[8],, Grifinória,"Família Evans, Escola de Magia e Bruxaria de HogwartsGrifinóriaClube do Slugue, Grifinória, Clube do Slugue, Família Potter, Ordem da FênixAlvo Dumbledore, Alvo Dumbledore",Lílian J. Potter (nascida Evans),,Tiago Potter (marido) †,"31 de outubro de 1981 (21 anos), Godric's Hollow, Região Oeste, Inglaterra, Grã-Bretanha",,,,,,
Antes de 1991,,,,,,,Cão de três cabeças,,,,,Castanhos,,,,,,,"Rúbeo Hagrid, Escola de Magia e Bruxaria de Hogwarts",Fofo,,,,,,,Castanhos,,
Grã-Bretanha ou Irlanda[1],,,,,,,"Retrato, Humana anteriormente",Feminino,,,Preto,Negros,,,,,,Grifinória,"Escola de Magia e Bruxaria de HogwartsGrifinóriaTorre da Grifnória, Grifinória, Torre da Grifnória",Mulher Gorda,Branca,,1960 ou anteriormente,,,,,,
"12 de Dezembro de 1972, Inglaterra, Grã-Bretanha",Puro-sangue,Solteiro,Britânico,-Carlinhos -Charlie,"Apanhador, Monitor da Grifinória",,,,,,Ruivo,Azuis,"Septimus Weasley (avô paternal), Cedrella Weasley (avó paternal), Sr. Prewett (avô maternal), Sra. Prewett (avó maternal), Bilius (tio) †, Gideon Prewett (Tio maternal) †, Fabian Prewett (Tio maternal) †, Tios Paternais, Arthur Weasley (pai), Molly Weasley (nascida Prewett) (mãe), Guilherme Weasley (irmão), Percy Weasley (irmão), Fred Weasley (irmão) †, Jorge Weasley (irmão), Ron Weasley (irmão), Ginevra Potter (nascida Weasley) (irmã), Fleur Weasley (nascida Delacour) (cunhada), Harry Potter (cunhado), Hermione Granger (cunhada), Audrey Weasley (cunhada), Angelina Weasley (nascida Johnson) (cunhada), Victoire Weasley (sobrinha), Dominique Weasley (sobrinha), Louis Weasley (sobrinho), Molly Weasley II (sobrinha), Lucy Weasley (sobrinha), Tiago Sirius Potter (sobrinho), Alvo Severo Potter (sobrinho), Lílian Luna Potter (sobrinha), Rosa Granger-Weasley (sobrinha), Hugo Granger-Weasley (sobrinho), Fred Weasley II (sobrinho), Roxanne Weasley (sobrinha), Família Black",,Primeira varinha de Ronald Weasley,,,Grifinória,"Ordem da Fênix, Família Weasley, Família Prewett, Escola de Magia e Bruxaria de HogwartsGrifinóriaTime de Quadribol da Grifinória, Grifinória, Time de Quadribol da Grifinória, Santuário de Dragões da Romênia, Círculo de Khanna",Carlinhos Weasley,Branca,,,,,,,,
"Entre outubro de 1975 a 31 de agosto de 1976[1], Escócia[2]",Sangue puro ou mestiço[3],,Britânico ou irlandês[4],,"Goleiro, Capitão de quadribol",,,,,,,,"Sr. Wood (pai), Sra. Wood (mãe), Aurora Wood (irmã)",Lorde Voldemort[5],"Madeira, núcleo e comprimento desconhecidos",,Goleiro reserva da União de Puddlemere, Grifinória,"Escola de Magia e Bruxaria de HogwartsGrifinóriaTime de Quadribol da Grifinória, Grifinória, Time de Quadribol da Grifinória, União de Puddlemere, Ordem da Fênix (durante a Batalha de Hogwarts), Armada de Dumbledore (durante a Batalha de Hogwarts)",Olívio Wood,,,,,,,,,
"1 de abril de 1978, Grã-Bretanha[1]",Sangue puro[2],Casado,Inglês,"Jred[2], Jorgie (por Molly Weasley), Harry Potter (sob efeito da Poção Polissuco)[3], Rodent (durante uma transmissão do Observatório Potter)[4]",Batedor[2],     ,Humana,Masculino,"Abaixo de 1,52 [5]",,Ruivo[6],,"Septimus Weasley (avô paterno) †, Cedrella Weasley (nascida Black) (avó materna) †, Sr. Prewett (avô paterno), Sra. Prewett (avó paterna), Arthur Weasley (pai), Molly Weasley (nascida Prewett) (mãe), Gui Weasley (irmão), Carlinhos Weasley (irmão), Percy Weasley (irmão), Fred Weasley (irmão gêmeo) †, Gina Potter (nascida Weasley) (irmã), Sr. Johnson (sogro), Angelina Weasley (nascida Johnson) (esposa)[7], Fred Weasley II (filho)[7], Roxanne Weasley (filha)[7], Tessie (tia-avó), Gideão Prewett (tio materno) †, Fábio Prewett (tio materno) †, Abílio (tio) †, Tio, Primo, Tios paternos, Harry Potter (cunhado), Tiago Potter II (sobrinho), Alvo Potter (sobrinho), Lílian Potter (sobrinha), Fleur Weasley (nascida Delacour) (cunhada), Victoire Weasley (sobrinha), Dominique Weasley (sobrinha), Louis Weasley (sobrinho), Audrey Weasley (cunhada), Molly Weasley II (sobrinha), Lucy Weasley (sobrinha), Hermione Granger (cunhada), Rosa Granger-Weasley (sobrinha), Hugo Granger-Weasley (sobrinho), Família Weasley, Casa dos Black (ancestrais distante)",Lorde Voldemort[8],"Comprimento, madeira e núcleo desconhecidos",Magpie[9],Co-proprietário das Gemialidades Weasley [10], Grifinória,"Família Weasley, Família Prewett, Escola de Magia e Bruxaria de HogwartsGrifinóriaTime de Quadribol da Grifinória, Grifinória, Time de Quadribol da Grifinória, Círculo de Khanna, Armada de Dumbledore, Ordem da Fênix, Gemialidades Weasley",Jorge Weasley,Branca,Angelina Johnson (esposa),,,,,,,
"31 de dezembro de 1926Londres, Inglaterra,[1] Grã-Bretanha",Mestiço,Solteiro,,,,,Humano,Masculino,,,"Pretos (primariamente, depois careca)",Pretos,"Mérope Gaunt (mãe) †, Tom Riddle Sr. (pai) †, Thomas Riddle (avô paterno) †, Mary Riddle (avó paterna) †, Morfino Gaunt (tio materno) †, Servolo Gaunt (avô materno) †, Corvino Gaunt (ancestral) †, Gormlaith Gaunt (parente distante) †, Rionach Gaunt (parente distante) †, Isolt Sayre (parente distante) †, Rionach Seward (parente distante) †, Martha Steward (prima distante) †, Cadmo Peverell (ancestral) †, Tiago Potter (primo distante) †, Harry Potter (primo distante), Tiago Potter II (primo distante), Alvo Potter (primo distante), Lílian Potter (prima distante), Salazar Slytherin (ancestral) †, Delphini (filha)",Seu próprio cadáver,"34,3 cm, teixo, núcleo de pena de fênix, 47,72 cm, olmo, núcleo de corda de coração de dragão, 38,1 cm, sabugueiro, núcleo de pelo de testrálio",Nenhum,,Sonserina,"Comensais da Morte, Escola de Magia e Bruxaria de HogwartsSonserinaClube do Slugue, Sonserina, Clube do Slugue, Borgin & BurkesSr. Borgin, Sr. Borgin, Família Riddle, Família Gaunt, Ministério da Magia Britânico",Tom Servolo Riddle,Pálida,Belatriz Lestrange,"2 de maio de 1998(71 anos)Salão Principal, Castelo de Hogwarts, Escócia, Grã-Bretanha",,,,,,
c. 1980,Trouxa[1],,Britânico[1],,,,Humano[1],Masculino[1],,,,,Sra. Polkiss (mãe)[1],,,,,,"Turma de Duda Dursley[1], Smeltings[2]",Pedro Polkiss,,,,,,,,,
"4 de outubro[1], Caithness, Escócia, Grã-Bretanha",Mestiça[1],Viúva (desde 1985),Escocesa,,"Monitora (Possivelmente), Monitora-Chefe, Madame[2], Professora[3](anteriormente), Professora de Transfiguração[3](anteriormente), Diretora de Casa da Grifinória[3](anteriormente), Vice-Diretora[3](anteriormente), Diretora[4]",     ,Humana[3],Feminino[3],,,Negro[5],,"Robert McGonagall Sr. (pai)[1], Isobel McGonagall (nascida Ross) (mãe)[1], Malcolm McGonagall (irmão)[1], Robert McGonagall Jr. (irmão) †[1], Elphinstone Urquart (marido) †[1], Sobrinhos[1], William McGonagall (possível ancestral paterno)[1], M. G. McGonagall (possível parente paterno)[1], Minerva (bisavó materna)[1], Sr. Ross (avô materno)[1], Sra. Ross (avó materna)[1]",Lorde Voldemort[8],"36 cm, Abeto e Corda de coração de dragão",Gato[9],"Funcionária do Departamento de Execução das Leis da Magia[1], Professora de Transfiguração na Escola de Magia e Bruxaria de Hogwarts[3], Diretora do Departamento de Transfiguração na Escola de Magia e Bruxaria de Hogwarts[3] (?-1998), Diretora da Casa Grifinória[3] (anterior a 1975-1998), Vice-Diretora da Escola de Magia e Bruxaria de Hogwarts[3] (? - 1998), Diretora da Escola de Magia e Bruxaria de Hogwarts[3] (1998-2020[10] (ou posteriormente))", Grifinória,"Família McGonagall[1], Família Urquart[1], Escola de Magia e Bruxaria de Hogwarts[3]Grifinória[3]Time de Quadribol da Grifinória[3]Departamento de Transfiguração[3], Grifinória[3], Time de Quadribol da Grifinória[3], Departamento de Transfiguração[3], Ministério da Magia Britânico[1] (anteriormete)Departamento de Execução das Leis da Magia[1], Departamento de Execução das Leis da Magia[1], Alvo Dumbledore[3], Ordem da Fênix[11], Armada de Dumbledore[12]",Minerva McGonagall,,,,,,Gato malhado[6] (registrado)[7],,,
"19 de setembro de 1979[1], Inglaterra[2], Grã-Bretanha",Nascida trouxa[3],Casada[4][5],Inglesa,"Hermy (por Grope)[6][7][8], Srta. Perfeição (por Rita Skeeter) [9][10], Srta. Certinha (por Rita Skeeter)[11], Harry Potter (sob efeito da Poção Polissuco)[12], Mafalda Hopkirk (sob efeito da Poção Polissuco)[13], Belatriz Lestrange (sob efeito da Poção Polissuco)[14]","Monitora[15], Vice-chefe do Departamento de Execução das Leis da Magia[16], Ministra da Magia (desde 2019)",,Humana[17],Feminino[17],"1,65cm[2]",53kg[2],Castanho[18],Castanho[19][20],"Sr. Granger (pai), Sra. Granger (mãe), Hector Dagworth-Granger (possível parente), Rony Weasley (esposo), Rosa Weasley (filha), Hugo Weasley (filho), Arthur Weasley (sogro), Molly Weasley (nascida Prewett) (sogra), Gina Potter (nascida Weasley) (cunhada), Harry Potter (cunhado), Tiago Potter II (sobrinho/afilhado), Alvo Potter (sobrinho), Lílian Potter II (sobrinha), Fred Weasley (cunhado) †, Jorge Weasley (cunhado), Angelina Weasley (nascida Johnson) (cunhada), Fred Weasley II (sobrinho), Roxanne Weasley (sobrinha), Percy Weasley (cunhado), Audrey Weasley (cunhada), Molly Weasley II (sobrinha), Lúcia Weasley (sobrinha), Carlinhos Weasley (cunhado), Gui Weasley (cunhado), Fleur Weasley (nascida Delacour) (cunhada), Victoire Weasley (sobrinha), Dominique Weasley (sobrinha), Louis Weasley (sobrinho)",Falhar [23],"Videira, fibra de coração de dragão e vinte e cinco centímetros, Nogueira, fibra de coração de dragão, trinta centímetros e inflexível (temporariamente)",Lontra[24][25],"Funcionária do Departamento para Regulamentação e Controle das Criaturas Mágicas (anteriormente)[26], Vice-chefe do Departamento de Execução das Leis da Magia (anteriormente)[16], Ministra da Magia", Grifinória[27],"Família Granger, Família Weasley, Família Potter, Escola de Magia e Bruxaria de HogwartsGrifinóriaArmada de DumbledoreClube do Slugue, Grifinória, Armada de Dumbledore, Clube do Slugue, Trio de ouro, F.A.L.E., Ordem da Fênix, Ministério da Magia BritânicoDepartamento para Regulamentação e Controle das Criaturas MágicasDepartamento de Execução das Leis da Magia, Departamento para Regulamentação e Controle das Criaturas Mágicas, Departamento de Execução das Leis da Magia",Hermione Jean Granger,Clara[21][22],"Vítor Krum (anteriormente), Córmaco McLaggen (anteriormente), Rony Weasley (esposo)",,,,,,,
30 de outubro de 1949,Puro-Sangue,Casada,Inglesa,Moliuóli (por Arthur Weasley),,     ,Humana,Feminino,"1,61",,Ruivo,Castanhos,"Possível bisavó[1], Pai, Mãe, Abílio (irmão ou cunhado) †, Gideão Prewett (irmão) †, Fábio Prewett (irmão) †, Muriel (tia-avó)[1], Ignatius Prewett (tio), Lucretia Prewett (nascida Black) (tia), Tessie (possível tia), Primo de segundo grau, Sobrinho, Arthur Weasley (marido), Gui Weasley (filho), Carlinhos Weasley (filho), Percy Weasley (filho), Fred Weasley (filho) †, Jorge Weasley (filho), Rony Weasley (filho), Gina Potter (nascida Weasley) (filha), Victoire Weasley (neta), Dominique Weasley (neta), Louis Weasley (neto), Molly Weasley II (neta), Lucy Weasley (neta), Fred Weasley II (neto), Roxanne Weasley (neta), Rosa Weasley (neta), Hugo Weasley (neto), Tiago Potter II (neto), Alvo Potter (neto), Lílian Potter II (neta), Septimus Weasley (sogro), Cedrella Weasley (nascida Black) (sogra), Dois cunhados, Harry Potter (genro), Hermione Granger (nora), Fleur Weasley (nascida Delacour) (nora), Angelina Weasley (nascida Johnson) (nora), Audrey Weasley (nora)",Cadáveres de sua família e de Harry Potter,"Comprimento, madeira e núcleo desconhecidos",Não Corpóreo,, Grifinória,"Família Weasley, Família Prewett, Família Potter, Ordem da Fênix, Escola de Magia e Bruxaria de HogwartsGrifinória, Grifinória",Molly Weasley,Clara,,,,,,,,
por volta de 1954,Trouxa,Casado,,,,,Humano,Masculino,,,"Pretos[1], Cinza, Branco",Azuis,"Sra. Dursley (mãe), Guida Dursley (irmã), Petúnia Dursley (nascida Evans) (esposa) †, Duda Dursley (filho), Sra. Dursley (nora), netos, Sr. Evans (sogro) †, Sra. Evans (sogra) †, Lílian Potter (nascida Evans) (cunhada) †, Tiago Potter (cunhado) †, Harry Potter (sobrinho), Gina Potter (nascida Weasley) (sobrinha)",,,,Diretor da Grunnings,,"Família Dursley, Grunnings",Valter Dursley,Rosada,,,,,,,,
c. 1327,A +,Casado,,,,NICOLAU FLAMEU,Humana,Masculino,"1,67",,Castanhos,Negros,Perenelle Flamel (esposa) †,Lua negra,Pau de sabugueiro núcleo de pele de dragão,Cobra,"Alquimista, filósofo",França rua dos gritos 167,"Academia de Magia Beauxbatons, Alvo Dumbledore, Família Flamel",Nicolau Flamel,Clara,,c. 1992 (665 anos)[1],,,Beija flor,,,
início de 1954,Trouxa,,,,,,Humana,Feminino,,,Cinza[1],Azuis,"Sr. Dursley (pai), Sra. Dursley (mãe), Válter Dursley (irmão), Petúnia Dursley (cunhada), Duda Dursley (sobrinho)",,,,Criadora de Cães,,Família Dursley,Guida Eileen Dursley,Clara,,,,,,,,
1991 ou antes,,,,,,,Jiboia[1],Masculino[1],,,,,,,,,,,"Harry Potter[1], Zoológico (anteriormente)[1], Brasil[1]",Jiboia do zoológico,Castanha e brilhante[1],,,,,,,,
"Entre 3 de maio - 31 de agosto de 1981, Grã-Bretanha",Nascido-trouxa,,,,,,Humano,Masculino,,,Castanhos,Castanhos,"Sr. Creevey (pai), Dênis Creevey (irmão), Charlotte Mary Creevey [irmã]",,,,, Grifinória,"Família Creevey, Armada de Dumbledore, Harry Potter, Escola de Magia e Bruxaria de HogwartsGrifinória, Grifinória",Colin Creevey,Clara,,"2 de maio de 1998 (16)Castelo de Hogwarts, Escócia",,,,,,
11 de agosto de 1981[1]Grã-Bretanha[2],Sangue puro[3],Casada[4],Inglesa,"Gina (por sua família e amigos), Gin (por Harry Potter)[4]","Artilheira, Apanhadora",     ,Humana[5],Feminino[5],,,Ruivo[6][7],Castanhos[8],"Arthur Weasley[9] (pai), Molly Weasley[5] (mãe), Gui Weasley[5] (irmão), Carlinhos Weasley[5] (irmão), Percy Weasley[5] (irmão), Fred Weasley[5] (irmão) †, Jorge Weasley[5] (irmão), Rony Weasley[5] (irmão), Harry Potter[10] (marido), Tiago Potter II[10] (filho), Alvo Potter[10] (filho), Lílian Potter II[10] (filha), Hermione Granger[10] (cunhada), Rosa Granger-Weasley[10] (sobrinha), Hugo Granger-Weasley[10] (sobrinho), Angelina Weasley[10] (nascida Johnson) (cunhada), Fred Weasley II[11] (sobrinho), Roxanne Weasley[11] (sobrinha), Fleur Weasley[12] (nascida Delacour) (cunhada), Victoire Weasley[13] (sobrinha), Dominique Weasley[11] (sobrinha), Louis Weasley[11] (sobrinho), Audrey Weasley[10] (cunhada), Molly Weasley II[11] (sobrinha), Lúcia Weasley[11] (sobrinha), Pelo menos dois tios paternos, Abílio[14] (tio) †, Tio, Fábio Prewett[15] (tio materno) †, Gideão Prewett[15] (tio materno) †, Primo, Muriel (tia-avó), Septimus Weasley[16] (avô paterno) †, Cedrella Weasley[16] (nascida Black) (avó paterna) †, Sr. Prewett[17] (avô materno) †, Sra. Prewett[17] (avó materna) †, Família Weasley[17], Casa dos Black (ancestrais distantes), Tiago Potter[10] (sogro) †, Lílian Potter[10] (nascida Evans) (sogra) †",Lorde Voldemort[18],"Comprimento, madeira e núcleo desconhecidos[19]",Cavalo[20],"Artilheira para as Harpias de Holyhead[21] (arteriormente), Correspondente Sênior de Quadribol para o Profeta Diário[21] (anteriormente), Editora de Esportes para o Profeta Diário", Grifinória[22],"Família Weasley, Família Potter, Família Prewett, Escola de Magia e Bruxaria de HogwartsGrifinóriaTime de Quadribol da GrifinóriaClube do Slugue[12], Grifinória, Time de Quadribol da Grifinória, Clube do Slugue[12], Armada de Dumbledore[15], Ordem da Fênix, Harpias de Holyhead[21], Profeta Diário[21]",Ginevra Molly Potter (nascida Weasley),Clara,"Harry Potter (marido), Dino Thomas (ex-namorado), Miguel Corner (ex-namorado)",,,,,,,
Entre 1 de Setembro de 1975 e 31 de Agosto de 1976Grã-Bretanha ou Irlanda[1],Nascida-trouxa ou Mestiça[2],,,,,,Humana,Feminina,,,Encaracolado,Azuis,,,,,,Corvinal,"Família Clearwater, Escola de Magia e Bruxaria de HogwartsCorvinal, Corvinal",Penélope Clearwater,Branca,,,,,,,,
Entre 22 de abril de 1980 a 31 de agosto de 1980,Puro-Sangue,,Britânica ou irlandesa,Ernie (por amigos),,     ,Humano,Masculino,,,Loiro,,"Nove gerações de bruxos e bruxas, Melania Macmillan (possível parente)",Lorde Voldemort,"Comprimento, madeira e núcleo desconhecidos",Javali,, Lufa-Lufa,"Armada de Dumbledore, Escola de Magia e Bruxaria de HogwartsLufa-Lufa, Lufa-Lufa",Ernesto Macmillan,Clara,,,,,,,,
22 de agosto de 1976,Puro-Sangue,Casado,,,,,Humana,Masculino,,,Ruivos,Azuis,"Arthur Weasley(pai), Molly Weasley(nascida Prewett)(Mãe), Audrey Weasley(Esposa), Molly Weasley II(Filha), Lucy Weasley(Filha), Guilherme Weasley(irmão), Carlinhos Weasley (irmão), Fred Weasley (irmão), Jorge Weasley (irmão), Rony Weasley (irmão), Hermione Weasley(nascida Granger), Rosa Granger-Weasley, Hugo Granger Weasley, Gina Potter(nascida Weasley) (Irmã), Harry Potter (cunhado), Tiago Sirius (sobrinho), Alvo Severo Potter (sobrinho), Lílian Luna Potter (sobrinha), Gideão (tio), Fábio Prewett(tio), Olivia Potter (cunhada)",,,,,Grifinória,"Escola de Magia e Bruxaria de HogwartsGrifinória, Grifinória",Percy Inácio Weasley,Branca,Audrey Weasley,,,,,,,
antes de 1890,Puro-Sangue,,,,,,Humano,Masculino,pequeno,,marrom claro,,"Cadmo Peverell (ancestral) †, Salazar Sonserina (ancestral) †, Corvinus Gaunt (antecedent) †, Morfino Gaunt (filho) †, Mérope Gaunt (filha) †, Tom Riddle Sr. (genro) †, Tom Riddle (neto) †, Delphini Riddle (bisneta), Família Potter (primos distantes)",,,Veado,,Sonserina,"Casa Gaunt, Família Sonserina, Família Peverell",Servolo Gaunt,branca,,"entre 1925 e 1929, próximo a Little Hangleton",,,,,,
Amortal,,,,,,,Poltergeist,Masculino,,,Pretos,Pretos,,Barão Sangrento,,,,,Escola de Magia e Bruxaria de Hogwarts,Pirraça,,,,,,,,,
26 de janeiro[1][2] de 1964[3]Grã-Bretanha ou Irlanda[4],Mestiço[1],Solteiro [1],,,,,Humana,Masculino,,,Loiros,Azuis,"Sr. Lockhart (pai), Sra. Lockhart (mãe), Duas irmãs mais velhas",,"Cereijeira e fibra de coração de dragão, 23cm, ligeiramente flexível[1]",Não-corpóreo[5],"Escritor, Professor de Defesa Contra as Artes das Trevas na Escola de Magia e Bruxaria de Hogwarts (1992-1993), Fundador e líder do Clube de Duelos (1992-1993)",Corvinal[1][6],"Hogwarts, Liga de Defesa Contra as Forças das Trevas, Ordem de Merlim, Família Lockhart, Ele mesmo",Gilderoy Lockhart,Clara,,,,,,,,
,,,,,,,"Humana (anteriormente), Fantasma",Masculino,,,Branco (calvo),Preto,Sr. Binns (pai),,,,Professor de História da Magia (antes de 1975 - depois de 1998),,Escola de Magia e Bruxaria de Hogwarts,Cuthbert Binns,Branca,,"Pré 1970,[1] Castelo de Hogwarts",,,,,,
